"id";"score_ato_b";"score_bto_a";"score_total";"ratio";"rank_a";"rank_b";"match_type";"push_status";"algorithm_id";"usera_id";"userb_id"
52;0.0;59.0;44.25;0.0807482;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1MVtyorWF3WACRoyn7OqJkc";"oMzbs1E1TTU1bfKVtbbC5vGC9mes"
53;134.0;100.0;108.5;0.197993;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1MVtyorWF3WACRoyn7OqJkc";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
54;80.0;0.0;20.0;0.0383142;0;1;"BIDIRECTIONAL";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1E1TTU1bfKVtbbC5vGC9mes"
57;58.0;0.0;43.5;0.0793796;0;1;"BTOA";"BOTH";1;"oMzbs1E1TTU1bfKVtbbC5vGC9mes";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc"
58;58.0;50.0;52.0;0.0948905;0;0;"ATOB";"BOTH";1;"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
59;50.0;0.0;12.5;0.0228102;0;0;"";"";1;"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
66;211.0;142.0;159.25;0.290602;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
67;138.0;0.0;34.5;0.0629562;1;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
68;86.0;58.0;79.0;0.144161;1;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1KMKaMvZBtlwQihhhQcE7jA";"oMzbs1A71vYPVjOPtWKPXyL2jFHU"
69;73.0;0.0;54.75;0.104885;0;0;"ATOB";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1MVtyorWF3WACRoyn7OqJkc"
70;50.0;0.0;37.5;0.0718391;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc"
71;86.0;0.0;64.5;0.123563;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1AjHHELJZI4So4nR5W8ZYs4";"oMzbs1A71vYPVjOPtWKPXyL2jFHU"
72;0.0;50.0;12.5;0.0239464;0;0;"";"";1;"oMzbs1OylgFGwtajxupMVe5EIaDQ";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
73;80.0;0.0;40.0;0.0766283;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1OylgFGwtajxupMVe5EIaDQ";"oMzbs1E1TTU1bfKVtbbC5vGC9mes"
74;0.0;50.0;12.5;0.0239464;0;0;"";"";1;"oMzbs1OylgFGwtajxupMVe5EIaDQ";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc"
75;50.0;0.0;25.0;0.0478927;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1OylgFGwtajxupMVe5EIaDQ";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
76;50.0;0.0;25.0;0.0478927;0;0;"BTOA";"BOTH";1;"oMzbs1OylgFGwtajxupMVe5EIaDQ";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
77;95.0;0.0;23.75;0.0433394;0;0;"";"";1;"oMzbs1MVtyorWF3WACRoyn7OqJkc";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
78;88.0;0.0;66.0;0.120438;0;0;"BIDIRECTIONAL";"BOTH";1;"oMzbs1E1TTU1bfKVtbbC5vGC9mes";"oMzbs1A71vYPVjOPtWKPXyL2jFHU"
